prob_alagar,classe_binaria_prevista,risco
0.003911385,0,baixo
0.9638675,1,alto
0.7931153,1,alto
0.010711297,0,baixo
0.13841122,0,baixo
0.95967066,1,alto
0.01095224,0,baixo
0.71279097,1,alto
0.0022632538,0,baixo
0.9715091,1,alto
0.26843533,0,baixo
0.041844696,0,baixo
0.32438064,0,medio
0.88233566,1,alto
0.9932203,1,alto
0.029640632,0,baixo
0.0031878795,0,baixo
0.0014814558,0,baixo
0.03115525,0,baixo
0.7755464,1,alto
0.004320883,0,baixo
0.89522153,1,alto
0.9824101,1,alto
0.93797165,1,alto
0.97686267,1,alto
0.9928519,1,alto
0.9663165,1,alto
0.0020106626,0,baixo
0.5156374,1,medio
0.99416804,1,alto
0.8822291,1,alto
0.022633249,0,baixo
0.9271104,1,alto
0.0005468055,0,baixo
0.95987743,1,alto
0.092578396,0,baixo
0.8871417,1,alto
0.98644364,1,alto
0.83418155,1,alto
0.07576377,0,baixo
0.14272693,0,baixo
0.87796116,1,alto
0.0559812,0,baixo
0.9034253,1,alto
0.9063362,1,alto
0.9373555,1,alto
0.94921696,1,alto
0.002656841,0,baixo
0.05399314,0,baixo
0.98015106,1,alto
0.11480664,0,baixo
0.0050123483,0,baixo
0.73979056,1,alto
0.62035197,1,medio
0.92725337,1,alto
0.044929516,0,baixo
0.04819954,0,baixo
0.09023666,0,baixo
0.07321605,0,baixo
0.55155194,1,medio
0.003271976,0,baixo
0.024404071,0,baixo
0.012848716,0,baixo
0.5868593,1,medio
0.028547483,0,baixo
0.6527588,1,medio
0.94756585,1,alto
0.15863754,0,baixo
0.04723586,0,baixo
0.8867945,1,alto
0.9905618,1,alto
0.0066831005,0,baixo
0.009370499,0,baixo
0.7524674,1,alto
0.996958,1,alto
0.93744516,1,alto
0.37498647,0,medio
0.9862546,1,alto
0.97767377,1,alto
0.84661984,1,alto
0.01337588,0,baixo
0.91693455,1,alto
0.5630782,1,medio
0.19667508,0,baixo
0.9803185,1,alto
0.001845,0,baixo
0.60535145,1,medio
0.85373455,1,alto
0.8111194,1,alto
0.87324584,1,alto
0.9950427,1,alto
0.49784502,0,medio
0.91397375,1,alto
0.9343663,1,alto
0.98654455,1,alto
0.018353919,0,baixo
0.97172314,1,alto
0.33414173,0,medio
0.0015862286,0,baixo
0.9973916,1,alto
0.006624091,0,baixo
0.34702995,0,medio
0.9775689,1,alto
0.6129344,1,medio
0.93355894,1,alto
0.9880378,1,alto
0.9963966,1,alto
0.90326846,1,alto
0.9903786,1,alto
0.11845609,0,baixo
0.86344105,1,alto
0.10507343,0,baixo
0.11390811,0,baixo
0.004408108,0,baixo
0.050692894,0,baixo
0.012650678,0,baixo
0.008408961,0,baixo
0.022830356,0,baixo
0.02884042,0,baixo
0.24022348,0,baixo
0.026635095,0,baixo
0.93728596,1,alto
0.0040025907,0,baixo
0.9837704,1,alto
0.9778365,1,alto
0.0018987671,0,baixo
0.9976858,1,alto
0.9704592,1,alto
0.99755436,1,alto
0.42956746,0,medio
0.020049188,0,baixo
0.005030726,0,baixo
0.98698145,1,alto
0.017290661,0,baixo
0.99675107,1,alto
0.6326655,1,medio
0.35018098,0,medio
0.9050017,1,alto
